Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
Go First,24/9/2022,Bangalore,New Delhi,20:35,8:05,2h 05m,Non Stop,"5,950"
Go First,21/9/2022,Kolkata,Bangalore,22:00,10:10,2h 10m,Non Stop,"5,950"
Go First,16/9/2022,Delhi,Mumbai,23:05,15:10,2h 05m,Non Stop,"5,950"
Go First,24/9/2022,Mumbai,Rajasthan,23:55,16:40,2h 10m,Non Stop,"5,950"
SpiceJet,24/9/2022,Bangalore,Chennai,1:00,9:35,2h 05m,Non Stop,"5,950"
Go First,24/9/2022,Bangalore,New Delhi,17:20,20:35,2h 10m,Non Stop,"5,950"
SpiceJet,24/9/2022,Kolkata,Bangalore,16:20,18:00,2h 05m,Non Stop,"5,950"
Go First,24/9/2022,Delhi,New Delhi,16:20,18:00,2h 10m,Non Stop,"5,950"
SpiceJet,24/9/2022,Mumbai,New Delhi,16:20,18:00,2h 05m,Non Stop,"5,950"
Go First,24/9/2022,Bangalore,New Delhi,16:20,18:00,2h 10m,Non Stop,"5,950"
IndiGo,24/9/2022,Bangalore,New Delhi,16:20,18:00,2h 05m,Non Stop,"5,954"
IndiGo,24/9/2022,Kolkata,New Delhi,16:20,18:00,2h 10m,Non Stop,"5,954"
IndiGo,24/9/2022,Delhi,New Delhi,16:20,18:00,2h 05m,Non Stop,"5,954"
IndiGo,24/9/2022,Mumbai,New Delhi,16:20,18:00,2h 10m,Non Stop,"5,954"
IndiGo,24/9/2022,Bangalore,New Delhi,16:20,18:00,2h 05m,Non Stop,"5,954"
IndiGo,24/9/2022,Bangalore,New Delhi,16:20,18:00,2h 10m,Non Stop,"5,954"
IndiGo,24/9/2022,Kolkata,New Delhi,16:20,18:00,2h 05m,Non Stop,"5,954"
IndiGo,24/9/2022,Delhi,New Delhi,16:20,18:00,2h 10m,Non Stop,"5,954"
IndiGo,24/9/2022,Mumbai,New Delhi,16:20,18:00,2h 05m,Non Stop,"5,954"
IndiGo,24/9/2022,Bangalore,New Delhi,16:20,18:00,2h 10m,Non Stop,"5,954"
IndiGo,24/9/2022,Bangalore,New Delhi,16:20,18:00,2h 05m,Non Stop,"5,954"
IndiGo,24/9/2022,Kolkata,New Delhi,16:20,18:00,2h 15m,Non Stop,"5,954"
